ID,Sual,A,B,C,D,E,correct
1,1. İdman biokimyası hansı elmlərlə qarşılıqlı əlaqədədir?,"idman fiziologiyası, idman təbabəti, idman gigiyenası","anatomiya, idman fiziologiyası, gigiyena, idman təbabəti","anatomiya, idman fiziologiyası, idman təbabəti, psixologiya","idman fiziologiyası, psixologiya, idman təbabəti","anatomiya, idman fiziologiyası, idman gigiyenası",B
2,2. Funksional biokimya elmi nəyi öyrənir?,maddələr mübadiləsi və enerji mübadiləsi proseslərini,orqanizmdə olan bütün kimyəvi birləşmələrin miqdarını və funksiyasını,metabolizm prosesləri ilə orqanizmin funksiyaları arasındakı əlaqələri,orqanizmdə olan bütün kimyəvi birləşmələrin quruluşunu və funksiyasını,yalnız enerji mübadiləsi proseslərini,C
3,3. Bioloji kimya fənni nəyi öyrənir?,insan orqanizminin kimyəvi tərkibini öyrənir,"insan, heyvan və bitkilərin kimyəvi tərkibini öyrənir",energetik mübadiləni və maddələr mübadiləsini öyrənir,mikroorqanizmlərdə baş verən kimyəvi prosesləri öyrənir,bütün canlı orqanizmlərin kimyəvi tərkibini öyrənir,E
4,4. Müasir bioloji kimyanın hansı bölmələri vardır?,"statik, dinamik və funksional","funksional, üzvi və qeyri-üzvi","üzvi, statik və dinamik",farmokoloji və funksional,funksional və dinamik,A
5,5. Kalium elementi haqqında hansı ifadə düzdür?,zülalların sintezində iştirak edir,eninəzolaqlı və saya əzələlərin tonusunu azaldır,hemoqlobinin sintezinde iştirak edir,ürək işinin nizama salınmasında mühüm rol oynayır,normadan artıqlığı insan orqanizminə toksiki təsir göstərmir,D
6,6. Maddələr mübadiləsi prosesi nədən ibarətdir?,yalnız enerji mübadiləsindən ibarətdir,"qidalanma, sintez və parçalanma proseslərinin qarşılıqlı əlaqəsindən ibarətdir","qidalanma, sintez və ifrazetmə proseslərinin qarşılıqlı əlaqəsindən ibarətdir","qidalanma və ifrazetmə, sintez və parçalanma proseslərinin qarşılıqlı əlaqəsindən ibarətdir",yalnız assimilyasiya proseslərindən ibarətdir,D
7,7. Spirtlərin funksional qrupu hansılardır?,OH,CH3,COH,COOH,NH,A
8,8. Aminturşuların tərkibində hansı funksional qruplar vardır?,"OH, COOH","CH2, CH3",NH2; COOH,NH; COOH,"NH, OH",C
9,9. Hansı üzvi maddələrin tərkibində amin qrupuna rast gəlinmir?,zülallar,karbohidratlar,azot əsasları,aminturşuları,neytral yağlar,E
10,10. Sümük toxuması və dişlərin tərkibinə hansı qeyri-üzvi birləşmələr daxildir?,"Ca SO4, Ca CO3; H2 CO3; Al(OH)3",Ca(PO4)2; Ca CO3; Ca F2; Na3 PO4; Mg3(PO4)2,K2 SO4; Ca F2; Ca Cl2; Na2 SO4,HCl; H2 CO3; H3 PO4,Mg2 SO4; Ca SO4; Na Cl; Ca Cl2; Na3 PO4,B
