ID,Sual,Mövzu,A,B,C,D,E,correct
1,1. Sinir əzələ aparatının əsas morfo-funksional elementi nədir?,Sinir-əzələ sistemi,əzələ,sinir,hərəki vahid,refleks,hormon,C
2,2. Əzələ lifləri hansı təqəllüs elementlərindən təşkil olunmuşdur?,Sinir-əzələ sistemi,proprioreseptorlar,miofibrillər,çöpcüklər və kolbacıqlar,vətər,bağlar,B
3,3. Hər əzələ lifində təxminən nə qədər miofibril olur?,Sinir-əzələ sistemi,500-ə qədər,50-ə qədər,100-ə qədər,1000 və daha çox,10-a qədər,D
4,4. Əzələ liflərinin təqəllüsü üçün əsas enerji mənbəyi hansıdır?,Sinir-əzələ sistemi,OMS,ÜVS,MMS,AHT,ATF,E
5,5. Sakitlik vaxtı hər 100qr skelet əzələsinə təxminən nə qədər qan axını düşür?,Sinir-əzələ sistemi,20-50 ml,2-5 ml,50-100 ml,100-500 ml,500-1000 ml,B
6,6. Əzələlərdə ATF-in resintezi hansı yollarla baş verir?,Sinir-əzələ sistemi,talamus və hipotalamus,anaerob və aerob,hipokinetik və hipodinamik,assimilyasiya və dissimilyasiya,monokulyar və binokulyar,B
7,7. Əzələlərə impuls göndərən neyronlar necə adlanır?,Sinir-əzələ sistemi,ara neyron,sekretor neyron,motoneyron,hissi neyron,sinaps,C
8,8. Ürək əzələsi hansı əzələ liflərindən təşkil olunmuşdur?,Sinir-əzələ sistemi,nəli əzələsi,saya əzələ,qarışıq əzələ,eninə zolaqlı əzələ,bud əzələsi,D
9,9. Eninə zolaqlı əzələlər əsasən harada yerləşir?,Sinir-əzələ sistemi,kapilyarda,damarlarda,skelet əzələlərində,daxili üzvlərdə,böyrəklərdə,C
10,10. Əzələnin təqəllüsünü qeyd etmək üçün hansı cihazdan istifadə edilir?,Sinir-əzələ sistemi,elektroensofaloqraf,"kimoqraf, mioqraf",fonendoskop,pulsotaxometr,elektrokardioqraf,B
11,11. Bədənin neçə faizini əzələ kütləsi təşkil edir?,Sinir-əzələ sistemi,5-10%,15-20%,25-30%,35-40%,60-70%,D
12,12. Sinir sisteminin əsas quruluş elementi nədir?,Mərkəzi sinir sistemi,hormon,neyron,ferment,vəzi,vətər,B
13,13. Aşağıdakılardan biri neyronların əsas funksiyalarına daxil deyil:,Mərkəzi sinir sistemi,reseptorlardan xarici qıcıaqların qəbulu,inteqrativ funksiya,hipertrofik funksiya,sinir təsirlərinin başqa neyronlara ötürülməsi,sinir impulslarının işçi üzvə ötürülməsi,C
14,14. Neyronlar neçə əsas tipə ayrılır?,Mərkəzi sinir sistemi,4,2,3,5,6,C
15,15. Aşağıdakılardan biri neyronların tipinə aid deyil:,Mərkəzi sinir sistemi,hissi,ara,efferent,qlobal,afferent,D
16,16. Neyronların bir-biri ilə və effektor üzvlərlə əlaqələnməsi hansı xüsusi törəmələrin köməyi ilə baş verir?,Mərkəzi sinir sistemi,akson,mitoxondri,lizosom,miofibril,sinaps,E
17,17. Mərkəzi sinir sisteminin fəaliyyətinin nizamlanması əsas hansı sinir proseslərinə əsaslanır?,Mərkəzi sinir sistemi,oyanma və təqəllüs,oyanma və ləngimə,qıcıqlanma və təqəllüs,qıcıqlanma və deformasiya,superkompensasiya və ləngimə,B
18,18. İrradiasiya hadisəsi nədir?,Mərkəzi sinir sistemi,hərəkət məhdudiyyəti,əzələnin en kəsiyinin böyüməsi,oyanma prosesinin başqa sinir mərkəzlərinə yayılması,sinir prosesinin həddən artıq güclü olması,tormozlayıcı sinir hüceyrələrinin fəallaşması,C
19,19. Tənəffüs mərkəzi beynin hansı şöbəsində yerləşir?,Mərkəzi sinir sistemi,orta beyin,onurğa beyni,beyincik,uzunsov beyin,ara beyin,D
20,20. Beyinciyin əsas vəzifələri hansıdır?,Mərkəzi sinir sistemi,analizatorların fəaliyyəti,qidalanma və həzm,tənəffüsün tənzimlənməsi,ürək fəaliyyətinin nizamlanması,hərəkət funksiyası və tonik reaksiyaların tənzimi,E
21,21. Beyin qabığında təxminən nə qədər sinir hüceyrəsi olur?,Mərkəzi sinir sistemi,300-400 min,10-20 min,14 mlrd,5 mln,100-ə qədər,C
22,22. Beyin qabığının funksional vəziyyətinin dəyişilməsinin elektrik fəallığının yazısı necə adlanır?,Mərkəzi sinir sistemi,kardioqramma,elektroensefaloqramma,mioqramma,tomqramma,spiroqramma,B
23,23. Vegetativ sinir sistemi hansı şöbələrdən ibarətdir?,Mərkəzi sinir sistemi,mərkəzi və ətraf,baş və onurğa beyni,adrenalin və noradrenalin,simpatik və parasimpatik,hipotalamus və talamus,D
24,24. Aşağıdakılardan biri simpatik sinir sisteminin iştirakı ilə baş verən refleksə aid deyil?,Mərkəzi sinir sistemi,Bronxların genişlənməsi,Ürək təqəllüsünün tezləşməsi,Qaraciyər və dalaqdan qanın qovulması,Qlikogenin qlükozaya qədər parçalanması,ürək vurğularının zəifləməsi,E
25,"25. Hansı sinirlərin təsiri altında ürək vurğuların sayı artır, damarlar daralır?",Mərkəzi sinir sistemi,baş beyin,simpatik,onurğa beyin,parasimpatik,vegetativ,B
26,26. Baş beyni hansı şöbələr təşkil edir?,Mərkəzi sinir sistemi,"onurğa beyin, ara beyin, böyük yarımkürələr, beyincik, orta beyin","böyük yarımkürələr, beyincik, retikulyar formasiya, orta beyin","böyük yarımkürələr, ara beyin, orta beyin, beyincik, uzunsov beyin","böyük yarımkürələr, ara beyin, orta beyin, beyincik, onurğa beyin","baş beyin qabığı, ara beyin, orta beyin, beyincik, uzunsov beyin",C
27,27. Hansı pozğunluqlar beyincik zədələnmələrin əlamətidir?,Mərkəzi sinir sistemi,"göz nistaqmi, asinergiya, astaziya, ataksiya","diastola, distoniya, ataksiya, göz nistaqmi","hemiplegiya, asinergiya, astaziya, sistola","ataksiya, asinergiya, astaziya, distoniya","anemiya, astiqmatizm, ataksiya, distoniya",D
28,28. Onurğa beynin şöbələri:,Mərkəzi sinir sistemi,"yuxarı, orta, aşağı","döş, qarın, bel, çanaq, büzdüm","boyun, döş, qarın, bel, çanaq","boyun, döş, qarın, büzdüm, oma","boyun, döş, bel, oma",E
29,29. Sinir mərkəzlərində ləngimə hadisəsi nə zaman və kim tərəfindən kəşf olunmuşdur?,Ali sinir fəaliyyəti və sensor sistem,1862-Seçenov,1789-Uxtomski,1899-Pavlov,1112-İbn Sina,1965-Mustafayev,A
30,30. Reflekslərin ilk təsnifatını kim vermişdir?,Ali sinir fəaliyyəti və sensor sistem,P.K.Anoxin,A.D.Slonim,İ.P.Pavlov,İ.M.Secenov,N.E.Vvedenskiy,C
31,31. Ac adam yeməyi düşünən zaman tüpürcək ifrazı hansı refleksdir?,Ali sinir fəaliyyəti və sensor sistem,süni,şərti,şərtsiz,II dərəcəli,III dərəcəli,B
32,32. İnsanın sözü qəbul edib və onu ifadə etməsini nə təmin edir?,Ali sinir fəaliyyəti və sensor sistem,I siqnal sistemi,eşitmə analizatoru,görmə analizatoru,instinkt,II siqnal sistemi,E
33,33. Bunlardan hansı yuxu növlərinə aid deyil?,Ali sinir fəaliyyəti və sensor sistem,patoloji yuxu,narkotik yuxu,hipotalamik yuxu,hipnotik yuxu,fəsil yuxusu,C
34,34. Şərtsiz refleksə aid deyil?,Ali sinir fəaliyyəti və sensor sistem,müdafiyə,vərdiş,cinsi,hərəki,qidalanma,B
35,35. İstilik enerjisini qəbul edən reseptorlar necə adlanır?,Ali sinir fəaliyyəti və sensor sistem,termoreseptorlar,fotoreseptorlar,xemoreseptorlar,mexanoreseptorlar,proprioreseptorlar,A
36,36. Görmə sensor sistemin xüsusi fotoreseptorları hansılardır?,Ali sinir fəaliyyəti və sensor sistem,məməciklər,kirpiklər,"çəkic, zindan, üzəngi",kolbacıqlar və çöpcüklər,otolitlər və reseptorlarin tükləri,D
37,37. Orta qulaqda hansı eşitmə sümükcükləri vardır?,Ali sinir fəaliyyəti və sensor sistem,otolitlər və reseptorların tükləri,"çəkic, zindan, üzəngi","kirpiklər, məməciklər, zindan",kolbacıqlar və çöpcüklər,çəkic və kirpiklər,B
38,"38. Dənizdə yaxud təyyarədə yırğalanmada baş verən ürək bulanma, qusma, baş gicəllənmə və s. bu kimi hallar əsasən nə ilə əlaqədardır?",Ali sinir fəaliyyəti və sensor sistem,akson və dendritlər,əzələ hipertrofiyası,hipokineziya,limbik sistem,vestibulyar davamiyyət,E
39,39. Oyanmanın sinir və əzələ toxumasında nəql olunmasının sürəti necə adlanır?,Ali sinir fəaliyyəti və sensor sistem,qıcıqlanma,labillik,reobaza,təqəllüs,xronaksiya,B
40,40. Toxuma hüceyrəsinin qıcığa qarşı oyanma ilə cavab vermə xassəsi necə adlanır?,Ali sinir fəaliyyəti və sensor sistem,labillik,qıcıqlanma,oyanıcıqlıq,hipertrofiya,hipoksiya,C
41,41. Refleks qövsü neçə hissədən ibarətdir?,Ali sinir fəaliyyəti və sensor sistem,4,2,3,5,1,D
42,42. Aşağıdakılardan hansı qıcığı qəbul edən aparatdır?,Ali sinir fəaliyyəti və sensor sistem,hipotermiya,reobaza,respirator,hipertrofiya,reseptor,E
43,43. Sinir prosessin hansı xüsusiyyəti sanqviniki fleqmatikdən fərqləndirir?,Ali sinir fəaliyyəti və sensor sistem,oyanma,qüvvə,ləngimə,mütəhərililik,müvazinət,D
44,44. Şərtsiz reflekslər MSS-in hansı şöbələri vasitəsilə icra olunur?,Ali sinir fəaliyyəti və sensor sistem,"qabıqaltı nüvələr, beyin sütunu və onurğa beynin",baş beyin yarımkürələrin,onurğa beynin,beyin sütunu və qabıqaltı nüvələrin,beyin sütunu və onurğa beynin,A
45,45. Aşağıdakılardan hansı şərti refleksin əmələ gəlmə mexanizminə aiddir?,Ali sinir fəaliyyəti və sensor sistem,MSS-də oyanmanın güclənməsi,MSS-də oyanma,şərti və şərtsiz reflekslərin birləşməsi,baş beyin qabığında iki mərkəz arasında müvəqqəti əlaqənin yaranması,şərtsiz qıcığın şərti qıcıq ilə əvəz olunması,D
46,46. Əzələ tonusunun artması ilə gedən patoloji yuxu necə adlanır?,Ali sinir fəaliyyəti və sensor sistem,anemiya,katalepsiya,atoniya,akromeqaliya,asteniya,B
47,47. Ləng yuxu fazasını hansı fizioloji xüsusiyyətlər xarakterizə edir?,Ali sinir fəaliyyəti və sensor sistem,ətrafların nizamsız hərəkəti,vegetativ funksiyalar güclənir,vegetativ funksiyalar zəifləyir,bədənin nizamsız hərəkəti,ətrafların və bədənin nizamsız hərəkəti,C
